,candidate,state,date,time_bucket,prop,abbreviation,party
177,Ted Cruz,Maine,March 5,26,45.9,ME,R
183,Ted Cruz,Wyoming,March 12,27,66.3,WY,R
188,Ted Cruz,Nebraska,May 10,36,18.4,NE,R
196,Ted Cruz,Wisconsin,April 5,31,48.2,WI,R
201,Ted Cruz,New York,April 19,33,14.5,NY,R
208,Ted Cruz,Connecticut,April 26,34,11.7,CT,R
213,Ted Cruz,Delaware,April 26,34,15.9,DE,R
216,Ted Cruz,Maryland,April 26,34,18.9,MD,R
220,Ted Cruz,Pennsylvania,April 26,34,21.6,PA,R
226,Ted Cruz,Rhode Island,April 26,34,10.4,RI,R
232,Ted Cruz,Indiana,May 3,35,36.6,IN,R
235,Ted Cruz,Nebraska,May 10,36,18.4,NE,R
240,Ted Cruz,West Virginia,May 10,36,9,WV,R
