date,candidate,state,count
1,Lindsey Graham,Maryland,0.09635532815511104
1,Lindsey Graham,Maine,0.033871632823084884
1,Lindsey Graham,Louisiana,0.09887992190589998
1,Lindsey Graham,Kentucky,0.08373235940116636
1,Lindsey Graham,Kansas,0.0353443125110451
1,Lindsey Graham,Iowa,0.07047824220952445
1,Lindsey Graham,Indiana,0.14600567192062677
1,Lindsey Graham,Illinois,0.37910982824347184
1,Lindsey Graham,Idaho,0.03092627344716446
1,Lindsey Graham,Hawaii,0.01851368750578553
1,Lindsey Graham,Georgia,0.3370332657303229
1,Lindsey Graham,Florida,0.6551320783297288
1,Lindsey Graham,Delaware,0.002314210938223191
1,Lindsey Graham,Connecticut,0.08289082815090339
1,Lindsey Graham,Colorado,0.14306031254470636
1,Lindsey Graham,California,1.1061928284706852
1,Lindsey Graham,Arkansas,0.06122139845663169
1,Lindsey Graham,Arizona,0.22553037507047824
1,Lindsey Graham,Alaska,0.018934453130917017
1,Lindsey Graham,Alabama,0.10645370315826679
1,Lindsey Graham,All States,0.26950038289671885
1,John Kasich,Wyoming,0.007153015627235317
1,John Kasich,Wisconsin,0.0961449453425453
1,John Kasich,West Virginia,0.05512029689222509
1,John Kasich,Washington DC,0.2739184219605995
1,John Kasich,Washington,0.17356582036673932
1,John Kasich,Virginia,0.13169964066615614
1,John Kasich,Vermont,0.001683062500525957
1,John Kasich,Utah,0.06290446095715764
1,John Kasich,Texas,1.0098375003155742
1,John Kasich,Tennessee,0.19607678131127398
1,John Kasich,South Dakota,0.01220220312881319
1,John Kasich,South Carolina,0.1173936094116855
1,John Kasich,Rhode Island,0.0035765078136176585
1,John Kasich,Pennsylvania,0.8819247502756015
1,John Kasich,Oregon,0.12854389847766998
1,John Kasich,Oklahoma,0.09446188284201934
1,John Kasich,Ohio,0.30063703915644907
1,John Kasich,North Dakota,0.014726796879602124
1,John Kasich,North Carolina,0.24530635945165824
1,John Kasich,New York,0.9052772424703991
1,John Kasich,New Mexico,0.03892082032466276
1,John Kasich,New Jersey,0.03134703907229595
1,John Kasich,New Hampshire,0.003366125001051914
1,John Kasich,Nevada,0.09656571096767678
1,John Kasich,Nebraska,0.05406838282939637
1,John Kasich,Montana,0.020617515631442974
1,John Kasich,Missouri,0.18324342974476357
1,John Kasich,Mississippi,0.04986072657808148
1,John Kasich,Minnesota,0.08730886721478402
1,John Kasich,Michigan,0.1819811328693691
1,John Kasich,Massachusetts,0.23668066413646272
1,John Kasich,Maryland,0.0942515000294536
1,John Kasich,Maine,0.029874359384335736
1,John Kasich,Louisiana,0.09130614065353317
1,John Kasich,Kentucky,0.08352197658860062
1,John Kasich,Kansas,0.0372377578241368
1,John Kasich,Iowa,0.06942632814669573
1,John Kasich,Indiana,0.15778710942430846
1,John Kasich,Illinois,0.352601593860188
1,John Kasich,Idaho,0.026297851570718078
1,John Kasich,Hawaii,0.019355218756048505
1,John Kasich,Georgia,0.29769167978052863
1,John Kasich,Florida,0.6239954220699986
1,John Kasich,Delaware,0.0031557421884861694
1,John Kasich,Connecticut,0.07089900783465594
1,John Kasich,Colorado,0.13127887504102465
1,John Kasich,California,0.9690232346778198
1,John Kasich,Arkansas,0.05974871876867147
1,John Kasich,Arizona,0.1885030000589072
1,John Kasich,Alaska,0.013674882816773402
1,John Kasich,Alabama,0.0999318359687287
1,John Kasich,All States,0.25203860945376205
1,Jim Webb,Wyoming,0.00042076562513148924
1,Jim Webb,Wisconsin,0.006101101564406595
1,Jim Webb,West Virginia,0.0052595703141436155
1,Jim Webb,Washington DC,0.029663976571769994
1,Jim Webb,Washington,0.012412585941378933
1,Jim Webb,Virginia,0.015147562504733614
1,Jim Webb,Vermont,0.00021038281256574462
1,Jim Webb,Utah,0.004418039063880637
1,Jim Webb,Texas,0.03997273438749148
1,Jim Webb,Tennessee,0.011991820316247443
1,Jim Webb,South Dakota,0.0014726796879602124
1,Jim Webb,South Carolina,0.009046460940327019
1,Jim Webb,Rhode Island,0.0006311484376972339
1,Jim Webb,Pennsylvania,0.06921594533412999
1,Jim Webb,Oregon,0.010308757815721487
1,Jim Webb,Oklahoma,0.006311484376972339
1,Jim Webb,Ohio,0.01640985938012808
1,Jim Webb,North Dakota,0.00021038281256574462
1,Jim Webb,North Carolina,0.023352492194797653
1,Jim Webb,New York,0.06627058595820956
1,Jim Webb,New Mexico,0.003366125001051914
1,Jim Webb,New Jersey,0.0018934453130917018
1,Jim Webb,New Hampshire,0.0006311484376972339
1,Jim Webb,Nevada,0.006311484376972339
1,Jim Webb,Nebraska,0.0037868906261834035
1,Jim Webb,Montana,0.0012622968753944678
1,Jim Webb,Missouri,0.012833351566510422
1,Jim Webb,Mississippi,0.002945359375920425
1,Jim Webb,Minnesota,0.006942632814669573
1,Jim Webb,Michigan,0.013043734379076168
